시설명,분점명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,블로그 주소,페이스북 주소,인스타 주소,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,입장료 유무 여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어),최종작성일
재송역사박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,재송동,,274-2 번지,재반로63번길,23 번,35.18462961,129.125195,48056,부산광역시 해운대구 재반로63번길 23,부산광역시 해운대구 재송동 274-2,051-749-5972,정보없음,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일","월-금, 10-17시",Y,N,N,Y,N,Y,Y,N,Y,Y,N,2022-11-25
잭슨나인스,부산남구점,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,남구,용호동,,954 번지,분포로,145 번,35.13422946,129.111217,48515,부산광역시 남구 분포로 145,부산광역시 남구 용호동 954,051-628-5200,www.jsnines.com/,정보없음,정보없음,정보없음,"매주 월요일, 화요일","평일(수-금) 11:00-20:00 운영,주말 및 공휴일 10:00-21:00 운영",Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,2022-11-25
전리단갤러리,,전시/공연,전시/기념관,미술관,부산광역시,부산진구,전포동,,664-9 번지,서전로37번길,20 번,35.15874874,129.064003,47247,부산광역시 부산진구 서전로37번길 20,부산광역시 부산진구 전포동 664-9,070-8832-4578,www.bsjincf.or.kr/,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",11:00-19:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
전포와일드클럽,,전시/공연,영화/연극/공연,N,부산광역시,부산진구,전포동,,663-7 번지,서전로37번길,14-1 번,35.15839462,129.064201,47247,부산광역시 부산진구 서전로37번길 14-1,부산광역시 부산진구 전포동 663-7,0504-3220-8439,정보없음,blog.naver.com/sorktksoek,정보없음,www.instagram.com/purplewavestudio,연중무휴,00:00-24:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
제로골프아카데미,,레저/체육/공원,대형체육시설,N,부산광역시,강서구,명지동,,3589-6 번지,명지국제8로10번길,16 번,35.09209949,128.902762,46726,부산광역시 강서구 명지국제8로10번길 16,부산광역시 강서구 명지동 3589-6,0507-1344-4773,zerogolf.modoo.at/,blog.naver.com/zerogolf0,정보없음,정보없음,연중무휴,"평일 08:00-23:00,주말 09:00-21:00",Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
제이스타골프연습장,,레저/체육/공원,대형체육시설,N,부산광역시,금정구,남산동,,68-1 번지,중앙대로,1989 번,35.26214668,129.091312,46227,부산광역시 금정구 중앙대로 1989,부산광역시 금정구 남산동 68-1,0507-1444-1369,정보없음,정보없음,정보없음,정보없음,연중무휴,"월-금 06:00-23:00,토-일, 법정공휴일 07:00-23:00",Y,N,Y,N,N,N,N,N,N,N,N,2022-11-25
조각보박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,좌동,,1352-3 번지,좌동순환로,25-1 번,35.16869405,129.166195,48084,부산광역시 해운대구 좌동순환로 25-1,부산광역시 해운대구 좌동 1352-3,051-744-0026,https://tinyurl.com/ykav7shj,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",금요일 14:00-16:00 (사전예약시에만 가능),N,N,N,N,N,N,N,N,N,N,N,2022-11-25
조선통신사역사관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동구,범일동,,590-5 번지,자성로,99 번,35.13574252,129.06045,48746,부산광역시 동구 자성로 99,부산광역시 동구 범일동 590-5,051-631-0858,www.tongsinsa.com/html/,정보없음,정보없음,www.instagram.com/joseon_tongsinsa/,"매주 월요일, 공휴일",09:00-18:00,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,2022-11-25
조은아트플러스,2관,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,중구,광복동,,59-1 번지,광복로,82 번,35.09832989,129.03376,48954,부산광역시 중구 광복로 82,부산광역시 중구 광복동1가 59-1,051-245-0042,www.gp-gp.co.kr/,정보없음,정보없음,정보없음,공연별 상이,공연시간에따라 다름,N,Y,Y,Y,N,N,N,N,N,N,N,2022-11-25
조현화랑,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,해운대구,중동,,1501-3 번지,달맞이길65번길,167 번,35.15676638,129.179118,48117,부산광역시 해운대구 달맞이길65번길 167,부산광역시 해운대구 중동 1501-3,051-747-8853,www.johyungallery.com/,정보없음,정보없음,정보없음,매주 월요일,10:30-18:30,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
주주스포츠 스크린골프장,,레저/체육/공원,대형체육시설,N,부산광역시,기장군,기장읍,청강리,702-9 번지,기장대로413번길,52 번,35.23612533,129.216235,46072,부산광역시 기장군 기장읍 기장대로413번길 52,부산광역시 기장군 기장읍 청강리 702-9,051-721-0009,jujusports.co.kr/,정보없음,정보없음,정보없음,정보없음,예약제,Y,N,Y,N,N,N,N,N,N,N,N,2022-11-25
죽도공원,,문화관광/명소,관광지,일반유원지/일반놀이공원,부산광역시,해운대구,송정동,,산 52-1 번지,송정해변로,1-23 번,35.1799193,129.206082,48072,부산광역시 해운대구 송정해변로 1-23,부산광역시 해운대구 송정동 산 52-1,051-749-7622,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,Y,N,N,N,Y,Y,Y,Y,N,N,2022-11-25
증권박물관 부산관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,남구,문현동,,1227-2 번지,전포대로,133 번,35.14828237,129.065473,48400,부산광역시 남구 전포대로 133,부산광역시 남구 문현동 1227-2,051-519-0600,bsmuseum.ksd.or.kr/main.do,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10:00-17:00(입장마감 : 16:00),Y,Y,N,N,Y,Y,Y,N,Y,Y,N,2022-11-25
지원스크린골프연습장,,레저/체육/공원,대형체육시설,N,부산광역시,북구,화명동,,2287-1 번지,금곡대로285번길,19 번,35.23377174,129.012324,46526,부산광역시 북구 금곡대로285번길 19,부산광역시 북구 화명동 2287-1,051-364-0090,정보없음,정보없음,정보없음,정보없음,연중무휴,매일 10:00-새벽 02:00,Y,N,Y,N,N,N,N,N,N,N,N,2022-11-25
지정크,,전시/공연,영화/연극/공연,N,부산광역시,수영구,민락동,,110-29 번지,광안해변로,348-1 번,35.15555749,129.130884,48280,부산광역시 수영구 광안해변로 348-1,부산광역시 수영구 민락동 110-29,051-727-4156,gjunk.com/,정보없음,정보없음,정보없음,연중무휴,10:00-21:00,Y,N,N,Y,N,Y,Y,Y,N,Y,N,2022-11-25
진스크린골프연습장,,레저/체육/공원,대형체육시설,N,부산광역시,동래구,안락동,,633-27 번지,안연로,64 번,35.19311169,129.099164,47901,부산광역시 동래구 안연로 64,부산광역시 동래구 안락동 633-27,051-522-0753,정보없음,정보없음,정보없음,정보없음,연중무휴,09:00-23:00,Y,N,Y,Y,N,N,N,N,N,N,N,2022-11-25
채스아트센터,,전시/공연,전시/기념관,미술관,부산광역시,해운대구,중동,,1491-7 번지,달맞이길117번가길,120-33 번,35.15771041,129.181656,48117,부산광역시 해운대구 달맞이길117번가길 120-33,부산광역시 해운대구 중동 1491-7,051-747-4808,chaesart.modoo.at/,정보없음,정보없음,정보없음,매주 월요일,화-일 10:00-18:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
책방골목문화관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,보수동,,136-1 번지,대청로,65 번,35.10319111,129.027197,48967,부산광역시 중구 대청로 65,부산광역시 중구 보수동1가 136-1,051-600-6376,정보없음,정보없음,정보없음,정보없음,매주 월요일,10:00-18:00,N,N,N,Y,N,Y,N,N,Y,N,N,2022-11-25
천마산복합전망대(2022년12월예정),,문화관광/명소,관광지,N,부산광역시,서구,초장동,,산 14-6 번지,,,35.09030725,129.014214,49251,,부산광역시 서구 초장동 산 14-6,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
청광식물원,,문화관광/명소,관광지,식물원,부산광역시,기장군,일광읍,원리,산 30-4 번지,,,35.30253829,129.233521,,,부산광역시 기장군 일광읍 원리 산 30-4,051-727-0348,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
청목수목원,,문화관광/명소,관광지,휴양림/수목원,부산광역시,부산진구,양정동,,산 73-65 번지,양성로6번길,53 번,35.16907781,129.066382,47208,부산광역시 부산진구 양성로6번길 53,부산광역시 부산진구 양정동 산 73-65,051-868-2661,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
청사포다릿돌전망대,,문화관광/명소,관광지,N,부산광역시,해운대구,중동,,산 3-9 번지,,,35.16419535,129.196262,,부산광역시 해운대구 청사포로 167,부산광역시 해운대구 중동 산 3-9,051-749-5720,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=282,정보없음,정보없음,정보없음,연중무휴 (눈·비·강풍 및 시설 개보수 시 개방 제한),매일 09:00-18:00 눈. 비. 강풍 주의보 발령시 개방제한,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,2022-11-25
청소년문화의집,부산 중구,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,중구,보수동,,64-1 번지,보수대로124번길,24-2 번,35.10574128,129.022633,48964,부산광역시 중구 보수대로124번길 24-2,부산광역시 중구 보수동2가 64-1,051-247-8425,www.purun1318.org/,정보없음,정보없음,정보없음,"매주 월요일, 토요일, 일요일, 공휴일",매일 09:00-20:00,N,N,N,Y,N,Y,N,N,Y,Y,N,2022-11-25
청춘나비소극장,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,수영구,광안동,,1078-16 번지,수영로,657 번,35.16440321,129.114249,48243,부산광역시 수영구 수영로 657,부산광역시 수영구 광안동 1078-16,070-8241-2560,정보없음,blog.naver.com/playnavi2009,정보없음,정보없음,정보없음,매일 15:00-21:00,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
초콜릿팩토리,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,남구,대연동,,72-7 번지,수영로,298 번,35.13658634,129.099036,48499,부산광역시 남구 수영로 298,부산광역시 남구 대연동 72-7,0507-1462-3581,정보없음,blog.naver.com/chocolatefactory12,정보없음,정보없음,상시변동,매일00:00-24:00(공연에 따라 유동적),Y,Y,Y,Y,N,N,N,N,N,N,N,2022-11-25
추억보물섬,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,중구,부평동,,35-37 번지,중구로23번길,9 번,35.09985609,129.027372,48979,부산광역시 중구 중구로23번길 9,부산광역시 중구 부평동1가 35-37,051-246-4090,정보없음,blog.naver.com/bomulsum_in_busan,정보없음,정보없음,정보없음,"평일 11:00-20:00, 주말 11:00-21:00",N,Y,Y,N,N,N,N,N,N,N,Y,2022-11-25
충무우리동네스크린골프,,레저/체육/공원,대형체육시설,N,부산광역시,서구,충무동,,26-4 번지,충무대로,277 번,35.09540403,129.023909,49253,부산광역시 서구 충무대로 277,부산광역시 서구 충무동1가 26-4,051-254-8884,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,Y,Y,N,N,Y,N,Y,N,N,2022-11-25
치치핑핑LCT워터파크,,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,해운대구,중동,,1829 번지,달맞이길,30 번,35.16133271,129.168014,48099,부산광역시 해운대구 달맞이길 30,부산광역시 해운대구 중동 1829,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
캐니언파크,부산,문화관광/명소,관광지,동물원,부산광역시,남구,문현동,,1227-2 번지,전포대로,133 번,35.14828237,129.065473,48400,부산광역시 남구 전포대로 133,부산광역시 남구 문현동 1227-2,051-710-1022,정보없음,정보없음,정보없음,정보없음,매주 화요일,11:30-20:00,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,2022-11-25
커먼베이,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1470 번지,센텀중앙로,48 번,35.17302466,129.129852,48059,부산광역시 해운대구 센텀중앙로 48,부산광역시 해운대구 우동 1470,051-714-1404,www.commonbay.com/,정보없음,정보없음,정보없음,연중무휴,09:00-20:00,Y,Y,Y,N,N,N,N,N,N,N,N,2022-11-25
케이크레프트,,레저/체육/공원,대형레저시설,요트장,부산광역시,강서구,대저2동,,4696-2 번지,맥도강변길,661 번,35.1496885,128.936878,46723,부산광역시 강서구 맥도강변길 661,부산광역시 강서구 대저2동 4696-2,,정보없음,정보없음,정보없음,정보없음,정보없음,09:00-18:00,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
코리아쇼파가구전시장,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,남구,문현동,,323-11 번지,수영로,102 번,35.13352158,129.077966,48458,부산광역시 남구 수영로 102,부산광역시 남구 문현동 323-11,051-646-3088,정보없음,정보없음,정보없음,정보없음,"매주 일요일, 공휴일","평일 9:00-19:00, 토요일 10:00-19:00",N,N,N,N,N,N,N,N,N,N,N,2022-11-25
코마린,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,070-4237-4609,www.kormarine.com/kor/,정보없음,정보없음,정보없음,정보없음,"동절기 10:00-18:00,하절기 10:00-21:00",N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
쿠무다콘서트홀,,전시/공연,영화/연극/공연,N,부산광역시,해운대구,송정동,,436-4 번지,송정광어골로,41 번,35.1774347,129.197177,48073,부산광역시 해운대구 송정광어골로 41,부산광역시 해운대구 송정동 436-4,051-702-1300,kumuda.co.kr/reserve/page05.html,정보없음,정보없음,정보없음,정보없음,정보없음,Y,Y,N,N,N,N,Y,N,Y,Y,N,2022-11-25
퀸비스크린,,레저/체육/공원,대형체육시설,N,부산광역시,기장군,장안읍,좌천리,497-12 번지,정관로,1128-6 번,35.32120731,129.234138,46029,부산광역시 기장군 장안읍 정관로 1128-6,부산광역시 기장군 장안읍 좌천리 497-12,0507-1306-2026,정보없음,정보없음,정보없음,정보없음,정보없음,10:00-14:00,Y,N,Y,N,N,N,Y,Y,N,N,N,2022-11-25
타워아트갤러리,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,부산진구,전포동,,662-6 번지,동천로108번길,11 번,35.15849751,129.063166,47247,부산광역시 부산진구 동천로108번길 11,부산광역시 부산진구 전포동 662-6,0507-1435-3940,www.towerartgallery.co.kr/,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10:30-18:00,N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
타이밍골프,,레저/체육/공원,대형체육시설,N,부산광역시,기장군,장안읍,좌천리,497-2 번지,정관로,1122 번,35.32167629,129.233848,46029,부산광역시 기장군 장안읍 정관로 1122,부산광역시 기장군 장안읍 좌천리 497-2,051-728-7218,https://tinyurl.com/3b4drmux,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,Y,N,N,N,Y,Y,N,N,N,2022-11-25
태종대,,레저/체육/공원,공원,대형시민/도심공원,부산광역시,영도구,동삼동,,산 29-1 번지,전망로,120 번,35.05543234,129.087964,49127,부산광역시 영도구 전망로 120,부산광역시 영도구 동삼동 산 29-1,051-405-8745,www.bisco.or.kr/taejongdae/,정보없음,정보없음,정보없음,연중무휴,"3월-10월 04:00-24:00, 11월-2월 05:00-24:00",Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,2022-11-25
터키이스탄불문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동래구,온천동,,1442-9 번지,충렬대로,138 번,35.20533954,129.075142,47823,부산광역시 동래구 충렬대로 138,부산광역시 동래구 온천동 1442-9,051-851-5545,정보없음,https://han.gl/rkRKF,www.facebook.com/tulipbusan,www.instagram.com/busantulip_/,"매주 일요일, 월요일, 공휴일",화-토 09:30-18:30,N,N,N,Y,N,N,N,N,N,N,N,2022-11-25
트리톤마린,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,051-746-1644,정보없음,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",09:00-19:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
트릭아이뮤지엄부산,,문화관광/명소,관광지,테마공원/대형놀이공원,부산광역시,중구,동광동,,41-4 번지,대청로126번길,12 번,35.10169228,129.033592,48950,부산광역시 중구 대청로126번길 12,부산광역시 중구 동광동3가 41-4,051-715-4200,www.trickeye.com/busan/,정보없음,정보없음,정보없음,"매주 월요일, 공휴일",화-일 10:00-18:00,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,2022-11-25
파라다이스카지노,부산,레저/체육/공원,대형레저시설,파라다이스카지노,부산광역시,해운대구,중동,,1411-1 번지,해운대해변로,296 번,35.16022124,129.165269,48099,부산광역시 해운대구 해운대해변로 296,부산광역시 해운대구 중동 1411-1,051-749-3550,www.paradisecasino.co.kr/paradise-casino/busan,정보없음,정보없음,정보없음,연중무휴,00:00-24:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
패총전시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,영도구,동삼동,,749-8 번지,태종로,729 번,35.07122916,129.079788,49125,부산광역시 영도구 태종로 729,부산광역시 영도구 동삼동 749-8,051-403-1193,museum.busan.go.kr/dongsam/index,정보없음,정보없음,정보없음,"매주 월, 주말, 1월 1일",화-금 0900-18:00,Y,N,N,Y,N,Y,N,N,Y,Y,N,2022-11-25
펀터치갤러리펀몽,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,사하구,감천동,,13-528 번지,옥천로,80-1 번,35.09345142,129.009808,49367,부산광역시 사하구 옥천로 80-1,부산광역시 사하구 감천동 13-528,,정보없음,blog.naver.com/funtouch,www.facebook.com/funmong,정보없음,"매주 월요일, 화요일, 일요일",11:00-19:00,N,Y,N,N,N,N,N,N,N,N,N,2022-11-25
페어파트너,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,남구,대연동,,55-1 번지,수영로,312 번,35.13697953,129.100621,48508,부산광역시 남구 수영로 312,부산광역시 남구 대연동 55-1,051-610-0953,정보없음,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",월-금 09:00-18:30,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
풀잎문화센터,부산정관지부,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,기장군,정관읍,매학리,717-1 번지,정관로,579 번,35.32137251,129.177178,46015,부산광역시 기장군 정관읍 정관로 579,부산광역시 기장군 정관읍 매학리 717-1,051-508-7662,cafe.naver.com/junggwanpulip,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10:00-20:00,Y,N,N,Y,N,N,Y,N,N,Y,N,2022-11-25
풍림무약볼파크,,레저/체육/공원,대형체육시설,지역야구장,부산광역시,기장군,정관읍,예림리,203-27 번지,산단7로,78-23 번,35.31906668,129.212131,46026,부산광역시 기장군 정관읍 산단7로 78-23,부산광역시 기장군 정관읍 예림리 203-27,,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
플딩도어종합전시장,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,강서구,대저2동,,3146-1 번지,유통단지1로97번길,11 번,35.16550127,128.950973,46721,부산광역시 강서구 유통단지1로97번길 11,부산광역시 강서구 대저2동 3146-1,051-506-2004,www.dayeun.kr/,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
피란생활박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,서구,아미동,,231-178 번지,아미로,36-1 번,35.09947163,129.012086,49249,부산광역시 서구 아미로 36-1,부산광역시 서구 아미동2가 231-178,051-240-4496,정보없음,정보없음,정보없음,정보없음,매주 월요일,09:00-18:00,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
피아크,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,영도구,동삼동,,201-6 번지,해양로195번길,180 번,35.08639119,129.076726,49013,부산광역시 영도구 해양로195번길 180,부산광역시 영도구 동삼동 201-6,0507-1353-9202,www.p-ark.kr/,blog.naver.com/busanpark2021,정보없음,www.instagram.com/p.ark_official/,연중무휴,매일 10:00-23:00,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
하늘연극장,,전시/공연,영화/연극/공연,N,부산광역시,해운대구,우동,,1467 번지,수영강변대로,120 번,35.17103653,129.127085,48058,부산광역시 해운대구 수영강변대로 120,부산광역시 해운대구 우동 1467,051-780-6000,www.dureraum.org/bcc/main/main.do?rbsIdx=1,정보없음,정보없음,정보없음,정보없음,정보없음,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,2022-11-25
하모니더골프,,레저/체육/공원,대형체육시설,N,부산광역시,해운대구,좌동,,1314-2 번지,세실로,64 번,35.17097556,129.177669,48107,부산광역시 해운대구 세실로 64,부산광역시 해운대구 좌동 1314-2,051-703-7274,정보없음,정보없음,정보없음,정보없음,연중무휴,"주중 08:00-새벽 02:00,주말 09:00-새벽 02:00",Y,Y,Y,Y,N,N,Y,Y,N,N,N,2022-11-25
하이스트CC,,레저/체육/공원,대형레저시설,골프장CC,부산광역시,강서구,지사동,,산 207 번지,과학산단1로,172 번,35.13911951,128.815049,46742,부산광역시 강서구 과학산단1로 172,부산광역시 강서구 지사동 산 207,051-314-7000,www.highestcc.co.kr/,정보없음,정보없음,정보없음,정보없음,06:00-18:40,Y,N,Y,N,N,N,Y,N,N,N,N,2022-11-25
한광미술관,,전시/공연,전시/기념관,미술관,부산광역시,중구,중앙동,,82-1 번지,중앙대로,130 번,35.10898719,129.037423,48937,부산광역시 중구 중앙대로 130,부산광역시 중구 중앙동4가 82-1,051-469-0095,www.asiaart.co.kr/index.php,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",13:30-17:00,N,N,N,Y,N,N,N,N,N,N,N,2022-11-25
한국기독교선교박물관,,전시/공연,전시/기념관,N,부산광역시,동래구,복천동,,500-1 번지,복천로5번길,34 번,35.20583046,129.087239,47803,부산광역시 동래구 복천로5번길 34,부산광역시 동래구 복천동 500-1,051-555-3096,museum-kcm.or.kr/,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",화-토10:00-17:00,Y,N,N,Y,N,Y,Y,Y,Y,N,N,2022-11-25
한국기독교선교박물관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동래구,수안동,,2-3 번지,충렬대로202번가길,24 번,35.20122427,129.082654,47817,부산광역시 동래구 충렬대로202번가길 24,부산광역시 동래구 수안동 2-3,051-555-3096,museum-kcm.or.kr/,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",화-토 오전10시-오후5시,Y,N,N,Y,N,N,Y,Y,Y,N,N,2022-11-25
한국순교자기념관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,금정구,부곡동,,1-4 번지,오륜대로,106-1 번,35.24570172,129.100902,46265,부산광역시 금정구 오륜대로 106-1,부산광역시 금정구 부곡동 1-4,051-583-2923,www.oryundaemuseum.com,정보없음,정보없음,정보없음,매주 월요일,화-일 10:00-17:00,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
한국신발관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,부산진구,개금동,,59-2 번지,백양대로,227 번,35.15730265,129.0258,47259,부산광역시 부산진구 백양대로 227,부산광역시 부산진구 개금동 59-2,051-898-9300,www.k-shoes.kr/main,정보없음,정보없음,www.instagram.com/k_shoes_center/,"매주 일요일, 공휴일",월-토 오전 10:00-오후 5:00,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,2022-11-25
한국은행부산본부화폐전시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,남구,문현동,,1230 번지,문현금융로,25 번,35.14533707,129.064475,48400,부산광역시 남구 문현금융로 25,부산광역시 남구 문현동 1230,051-240-3809,www.bok.or.kr/portal/main/contents.do?menuNo=200834,정보없음,정보없음,정보없음,"매주 토요일, 일요일, 공휴일",10:00-16:00 평일,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,2022-11-25
한국청소년문화연구회,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동구,초량동,,1155 번지,중앙대로320번길,10 번,35.12405673,129.045949,48729,부산광역시 동구 중앙대로320번길 10,부산광역시 동구 초량동 1155,051-644-9300,정보없음,blog.naver.com/kycevent,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
한국해양레저개발,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,우동,,1393 번지,해운대해변로,84 번,35.15979857,129.141957,48090,부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,051-731-1109,www.koma-content.com/,blog.naver.com/badarang79,https://url.kr/q4rdzt,www.instagram.com/koma_content.official/,연중무휴,09:00-18:00,Y,N,Y,Y,N,N,Y,Y,Y,N,N,2022-11-25
한불문화원,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,동래구,온천동,,1219-5 번지,석사북로95번길,60-20 번,35.20753365,129.064161,47847,부산광역시 동래구 석사북로95번길 60-20,부산광역시 동래구 온천동 1219-5,051-634-2118,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,Y,N,N,N,N,N,N,N,N,N,N,2022-11-25
한성1918-부산생활문화센터,,전시/공연,영화/연극/공연,공연/연극/문화센터,부산광역시,중구,동광동,,11 번지,백산길,13 번,35.10177864,129.034595,48955,부산광역시 중구 백산길 13,부산광역시 중구 동광동3가 11,051-257-8038,1918.bscf.or.kr/,정보없음,www.facebook.com/hansung1918,정보없음,매주 월요일,"화-토09:00-22:00, 일09:00-18:00",N,N,N,N,N,N,N,N,Y,N,N,2022-11-25
한양가야스토아,,레저/체육/공원,대형체육시설,N,부산광역시,부산진구,가야동,,669-9 번지,엄광로,68 번,35.14661344,129.026989,47391,부산광역시 부산진구 엄광로 68,부산광역시 부산진구 가야동 669-9,051-891-3261,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
한중우호센터,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,동구,초량동,,546 번지,초량중로,36 번,35.11507587,129.037552,48818,부산광역시 동구 초량중로 36,부산광역시 동구 초량동 546,051-861-0824,정보없음,정보없음,정보없음,정보없음,"매주 일요일, 월요일, 공휴일",10:00-19:00,Y,Y,N,N,N,Y,Y,N,N,N,N,2022-11-25
해강수석전시관,,전시/공연,전시/기념관,기타전시/박물관,부산광역시,기장군,일광읍,이천리,192-3 번지,일광로,257 번,35.27345979,129.24522,46041,부산광역시 기장군 일광읍 일광로 257,부산광역시 기장군 일광읍 이천리 192-3,051-722-1446,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음,N,N,N,N,N,N,N,N,N,N,N,2022-11-25
해놀,,레저/체육/공원,대형레저시설,요트장,부산광역시,해운대구,중동,,1439-31 번지,,,35.16272357,129.166471,48102,,부산광역시 해운대구 중동 1439-31,02-565-7895,www.haenol.com/,정보없음,정보없음,정보없음,정보없음,매일09:00-22:00,N,N,Y,N,N,N,N,N,N,N,N,2022-11-25
